Format Version,1.23,Take Name,Take 2026-01-12 01.56.14 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-12 01.56.15.167 ,Total Frames in Take,360,Total Exported Frames,360,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001
,ID,"C3510","C3510","C3510","C3520","C3520","C3520"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
221,1.841667,0.795141,0.346303,1.915994,0.316383,-0.137516,1.548581
222,1.850000,0.805191,0.348494,1.913510,0.316406,-0.137509,1.548668
223,1.858333,0.815206,0.350268,1.911039,0.316392,-0.137512,1.548605
224,1.866667,0.825095,0.351630,1.908276,0.316399,-0.137509,1.548660
225,1.875000,0.835228,0.352619,1.906143,0.316388,-0.137522,1.548595
226,1.883333,0.845185,0.353229,1.903985,0.316417,-0.137511,1.548647
227,1.891667,0.855375,0.353466,1.902634,0.316418,-0.137513,1.548632
228,1.900000,0.865160,0.353059,1.900815,0.316402,-0.137502,1.548619
229,1.908333,0.874772,0.352174,1.899083,0.316394,-0.137508,1.548572
230,1.916667,0.884549,0.350915,1.898488,0.316407,-0.137509,1.548609
231,1.925000,0.893851,0.349214,1.897716,0.316417,-0.137515,1.548688
232,1.933333,0.902475,0.347090,1.896775,0.316404,-0.137515,1.548602
233,1.941667,0.910626,0.344868,1.896179,0.316402,-0.137515,1.548586
234,1.950000,0.918405,0.342547,1.896296,0.316412,-0.137512,1.548639
235,1.958333,0.925247,0.340008,1.895848,0.316407,-0.137509,1.548619
236,1.966667,0.931456,0.337355,1.895604,0.316389,-0.137500,1.548524
237,1.975000,0.937034,0.334808,1.895791,0.316409,-0.137517,1.548637
238,1.983333,0.941827,0.332448,1.895966,0.316413,-0.137491,1.548568
239,1.991667,0.947221,0.330999,1.899904,0.316407,-0.137504,1.548611
240,2.000000,0.953761,0.330321,1.908954,0.316404,-0.137514,1.548659
241,2.008333,0.955471,0.329237,1.908589,0.316393,-0.137487,1.548491
242,2.016667,0.956038,0.328840,1.907940,0.316412,-0.137518,1.548650
243,2.025000,0.955669,0.329162,1.907570,0.316415,-0.137508,1.548638
244,2.033333,0.954578,0.330334,1.907839,0.316410,-0.137518,1.548637
245,2.041667,0.952059,0.331962,1.907437,0.316415,-0.137507,1.548613
246,2.050000,0.944040,0.332981,1.896005,0.316408,-0.137507,1.548601
247,2.058333,0.938282,0.335345,1.893099,0.316417,-0.137519,1.548638
248,2.066667,0.932406,0.338527,1.892826,0.316411,-0.137514,1.548637
249,2.075000,0.925656,0.342062,1.893196,0.316398,-0.137486,1.548481
250,2.083333,0.917762,0.345507,1.893762,0.316384,-0.137516,1.548583
251,2.091667,0.908763,0.348623,1.894050,0.316408,-0.137494,1.548543
252,2.100000,0.899322,0.351612,1.895370,0.316414,-0.137517,1.548646
253,2.108333,0.889145,0.354099,1.896631,0.316411,-0.137510,1.548627
254,2.116667,0.878725,0.356242,1.898821,0.316420,-0.137517,1.548665
255,2.125000,0.868086,0.358047,1.901791,0.316389,-0.137511,1.548550
256,2.133333,0.856669,0.359138,1.903793,0.316383,-0.137511,1.548533
257,2.141667,0.845523,0.359934,1.907241,0.316412,-0.137516,1.548613
258,2.150000,0.833988,0.360081,1.910197,0.316416,-0.137517,1.548657
259,2.158333,0.822659,0.359832,1.914005,0.316398,-0.137521,1.548628
260,2.166667,0.811412,0.359102,1.918154,0.316411,-0.137514,1.548656
261,2.175000,0.800080,0.357774,1.921809,0.316412,-0.137519,1.548669
262,2.183333,0.789148,0.356087,1.926112,0.316398,-0.137514,1.548616
263,2.191667,0.778504,0.354097,1.930680,0.316381,-0.137499,1.548541
264,2.200000,0.768139,0.351644,1.935053,0.316405,-0.137520,1.548645
265,2.208333,0.758028,0.348867,1.939423,0.316369,-0.137489,1.548474
266,2.216667,0.748382,0.345853,1.944067,0.316406,-0.137518,1.548657
267,2.225000,0.739188,0.342623,1.948835,0.316395,-0.137511,1.548630
268,2.233333,0.730364,0.338970,1.953165,0.316399,-0.137502,1.548641
269,2.241667,0.721987,0.335240,1.957527,0.316398,-0.137491,1.548587
270,2.250000,0.714028,0.331349,1.961434,0.316370,-0.137504,1.548576
271,2.258333,0.706779,0.327347,1.965392,0.316403,-0.137515,1.548686
272,2.266667,0.699939,0.323164,1.968606,0.316395,-0.137502,1.548578
273,2.275000,0.693945,0.319066,1.972067,0.316392,-0.137505,1.548621
274,2.283333,0.688444,0.315115,1.974896,0.316370,-0.137512,1.548555
275,2.291667,0.683847,0.311272,1.977860,0.316381,-0.137513,1.548593
276,2.300000,0.679676,0.307590,1.979755,0.316371,-0.137516,1.548539
277,2.308333,0.676060,0.304101,1.980728,0.316406,-0.137516,1.548649
278,2.316667,0.673328,0.301083,1.981635,0.316401,-0.137523,1.548645
279,2.325000,0.671177,0.298410,1.981465,0.316403,-0.137508,1.548640
280,2.333333,0.669749,0.296142,1.980714,0.316384,-0.137499,1.548504
281,2.341667,0.669214,0.294452,1.979933,0.316405,-0.137512,1.548634
282,2.350000,0.669293,0.293109,1.978264,0.316408,-0.137510,1.548661
283,2.358333,0.670210,0.292300,1.976210,0.316413,-0.137499,1.548606
284,2.366667,0.671692,0.291896,1.973488,0.316412,-0.137518,1.548679
285,2.375000,0.673967,0.291875,1.970051,0.316388,-0.137486,1.548492
286,2.383333,0.677104,0.292372,1.966358,0.316397,-0.137497,1.548569
287,2.391667,0.681081,0.293379,1.962633,0.316406,-0.137518,1.548648
288,2.400000,0.685479,0.294624,1.957943,0.316365,-0.137489,1.548437
289,2.408333,0.690722,0.296313,1.953780,0.316401,-0.137513,1.548627
290,2.416667,0.696471,0.298282,1.949388,0.316401,-0.137519,1.548666
291,2.425000,0.702555,0.300185,1.944211,0.316396,-0.137510,1.548590
292,2.433333,0.709068,0.302237,1.939552,0.316409,-0.137523,1.548682
293,2.441667,0.716408,0.304294,1.935177,0.316386,-0.137513,1.548554
294,2.450000,0.724188,0.306395,1.931494,0.316406,-0.137512,1.548643
295,2.458333,0.731946,0.308178,1.926604,0.316408,-0.137520,1.548648
296,2.466667,0.740222,0.309725,1.921972,0.316417,-0.137512,1.548655
297,2.475000,0.748997,0.311200,1.917658,0.316416,-0.137508,1.548631
298,2.483333,0.758330,0.312403,1.913705,0.316406,-0.137513,1.548617
299,2.491667,0.767468,0.313126,1.908570,0.316403,-0.137509,1.548596
300,2.500000,0.777430,0.313819,1.904637,0.316440,-0.137497,1.548697
301,2.508333,0.787196,0.314062,1.900052,0.316398,-0.137490,1.548504
302,2.516667,0.797487,0.314123,1.896141,0.316394,-0.137511,1.548576
303,2.525000,0.808058,0.314015,1.893005,0.316416,-0.137515,1.548639
304,2.533333,0.818192,0.313460,1.889093,0.316396,-0.137494,1.548527
305,2.541667,0.828976,0.312816,1.886936,0.316405,-0.137495,1.548539
306,2.550000,0.839387,0.311812,1.884681,0.316365,-0.137503,1.548439
307,2.558333,0.849255,0.310370,1.881908,0.316402,-0.137499,1.548520
308,2.566667,0.859235,0.308658,1.880229,0.316373,-0.137489,1.548458
309,2.575000,0.869149,0.306790,1.879541,0.316384,-0.137514,1.548539
310,2.583333,0.878464,0.304684,1.878836,0.316417,-0.137514,1.548691
311,2.591667,0.886804,0.302461,1.877387,0.316414,-0.137512,1.548637
312,2.600000,0.894810,0.300419,1.877061,0.316415,-0.137511,1.548634
313,2.608333,0.902098,0.298299,1.876847,0.316441,-0.137508,1.548753
314,2.616667,0.908410,0.296438,1.876203,0.316409,-0.137518,1.548661
315,2.625000,0.914032,0.294665,1.876075,0.316406,-0.137509,1.548603
316,2.633333,0.918430,0.293196,1.875564,0.316402,-0.137514,1.548616
